Players,Weighted Average
Samurai,31.744
Eyas,30.79090909090909
Sophist,30.481818181818184
Kaiju,28.07418181818182
CHICO,26.21818181818182
ICHIGO,26.131636363636368
TheDood22,24.71345454545455
Pidgeon,23.549818181818186
Cal,23.19090909090909
Shinta,21.654545454545456
Frog Lady,20.51818181818182
bellyache,19.406545454545455
DrMichaelBay,19.11818181818182
mjmd,16.836363636363636
Payday,10.195272727272728
The_Verminator,9.918181818181818
Thumbs,9.867272727272729
Zxtra,9.636363636363637
Rainstorm,8.445454545454545
TDollas,3.113818181818182
goober,2.7138181818181817
Helix,-0.08945454545454545
